batch,query_id,lane,source_group,query,result_index,account_guess,source_type,signal_type,date,title_or_actor,url,domain,reliability,weak_or_noise,tags,evidence,summary
crustdata_linkedin,li_015,workflow,linkedin_posts,AI agent loan processing,2,BotCircuits,linkedin_company_post,business-workflow,2026-06-05,BotCircuits,https://www.linkedin.com/posts/botcircuits_aiagents-rpa-lending-activity-7460683002197491712-pW43?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGciIgB5y1D2N4qqhpMv83ellmRsl3D4lA,linkedin.com,medium,no,"ai-agents,business-workflow,linkedin_company_post,linkedin_posts,medium,workflow",AI Agents vs RPA in lending. RPA automates tasks. AI agents transform lending journeys.  The real question is what delivers a better borrower experience and faster loan processing?  Read the full article to understand what works best for modern financial automation. Read here 👉 https://lnkd.in/gpCu3wgw  #AIAgents #RPA #Lending #FinancialAutomation #AIinFinance #LendingAutomation #LoanProcessing #LoanAutomation,employer=; reactions=14; comments=0
crustdata_linkedin,li_015,workflow,linkedin_posts,AI agent loan processing,4,advansappz,linkedin_company_post,business-workflow,2026-06-05,advansappz,https://www.linkedin.com/posts/advansappz_ai-financialservices-lending-activity-7460690471556804608-H4CL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGciIgB5y1D2N4qqhpMv83ellmRsl3D4lA,linkedin.com,medium,no,"ai-agents,business-workflow,linkedin_company_post,linkedin_posts,medium,underwriting,workflow","Credit decisions are often based on incomplete financial histories - leaving freelancers, gig workers, and first-time borrowers at a disadvantage. The result? Missed opportunities for both lenders and borrowers.  AI agents are changing this.  By combining alternative data, real-time risk assessment, and automated underwriting, financial institutions can now: -> Expand credit access to underserved segments -> Reduce approval times from days to minutes -> Improve risk accuracy with deeper data insights -> Deliver faster, more consistent lending decisions  This shift isn’t about replacing existing systems - it’s about making them smarter, more inclusive, and more responsive.  This article explores how AI agents are transforming credit scoring and loan processing, along with key opportunities and considerations for financial institutions.  Read the full article.  #AI #FinancialServices #Lending #CreditScoring #AIinFinance #DigitalTransformation #advansappz",employer=; reactions=1; comments=0
crustdata_linkedin,li_019,workflow,linkedin_posts,agentic workflows financial services,0,Breeple,linkedin_practitioner_post,governance/compliance,2026-06-05,Alexandra C.,https://www.linkedin.com/posts/alextwittau_aigovernance-financialservices-responsibleai-activity-7459882633326641152-rArg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGBHbr0BmBmlsPeesXn0macbokyqSKumsF4,linkedin.com,medium,no,"agentic-ai,aml,governance,governance/compliance,kyc,linkedin_posts,linkedin_practitioner_post,medium,underwriting,workflow","Financial services is sleepwalking into a governance failure that makes previous scandals look minor. Whilst most institutions focus on the dazzle of agentic AI, they are missing the fact that their regulatory safety net has just been pulled away.  In April 2026, the Federal Reserve replaced SR 11-7 with SR 26-2. It's a massive shift. Buried in the text is a sentence that excludes generative and agentic AI from the scope of the guidance because the technology is too novel.  The framework that governed model risk for fifteen years is gone. Its replacement ignores the very tech being deployed into KYC, AML, and credit underwriting at record speed.   This leaves a vacuum. Since January 2025, agentic deployment has jumped from 7% to 44%. We're sprinting towards the EU AI Act enforcement in August without a valid map.   Your current guardrails are likely a façade. Prompt-based instructions are probabilistic, they depend on the model choosing to obey. If a KYC agent reads a poisoned document",employer=Breeple.ai; reactions=110; comments=36
crustdata_linkedin,li_019,workflow,linkedin_posts,agentic workflows financial services,2,"Gene East, Data Specialist Recruiters",linkedin_practitioner_post,job/hiring,2026-06-05,Oliver Molloy,https://www.linkedin.com/posts/oliver-molloy-b82652104_ai-agenticai-fintech-activity-7467480061760294913-jWiO?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGBHbr0BmBmlsPeesXn0macbokyqSKumsF4,linkedin.com,medium,no,"agentic-ai,ai-agents,job/hiring,linkedin_posts,linkedin_practitioner_post,medium,workflow","🔥 Agentic AI continues to attract serious investor attention.  Saris AI has raised $28.8M in Series A funding to help banks and credit unions automate complex workflows using AI agents.💰  As financial institutions look beyond chatbots and copilots, investment is increasingly flowing into platforms that can orchestrate real work across systems and processes.🏦  The next phase of AI adoption in financial services won't just be about generating content - it'll be about executing workflows.⚡  📈 From onboarding and servicing to operations and compliance, agentic AI is quickly moving from proof of concept to production.  #AI #AgenticAI #FinTech #Banking #FinancialServices #Automation #DigitalTransformation #FutureOfWork","employer=Gene East, Data Specialist Recruiters; reactions=7; comments=1"
crustdata_linkedin,li_019,workflow,linkedin_posts,agentic workflows financial services,6,Building Legacies LLC,linkedin_practitioner_post,governance/compliance,2026-06-05,"Tenita Abraham, MBA, CRPC®",https://www.linkedin.com/posts/tenitaabraham_aiagents-agenticai-financialadvisors-activity-7457874681325469696-XCic?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGBHbr0BmBmlsPeesXn0macbokyqSKumsF4,linkedin.com,medium,no,"agentic-ai,ai-agents,governance,governance/compliance,linkedin_posts,linkedin_practitioner_post,medium,wealth,workflow",Your next top analyst doesn't have a desk. It has an API. AI agents are no longer a future-state conversation in financial services. Major institutions are already testing systems that don't just assist — they execute. They plan. They complete multi-step tasks across platforms with minimal human input. That changes everything about how advice gets delivered. But here's what most people aren't talking about: agentic AI doesn't just change productivity. It changes accountability. And the advisors who understand that distinction right now will have a significant edge over those who figure it out later. I break down exactly what this means for financial professionals — and the three questions every advisor should be asking before adoption accelerates — in this week's AI Advisor Brief. Link in the article. 👇 Where are you seeing AI show up in your workflows? Drop it in the comments — I read every one. #AIAgents #AgenticAI #FinancialAdvisors #AIADVISOR #WealthManagement #AIGovernance #AIStra,employer=Building Legacies LLC; reactions=3; comments=0
crustdata_linkedin,li_022,workflow,linkedin_posts,agentic AI asset servicing,1,BP3 Global,linkedin_company_post,wealth/research/asset-servicing,2026-06-05,BP3 Global,https://www.linkedin.com/posts/bp3-global-inc-_agentic-ai-agents-activity-7465310908316135424-s2UR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGy-QEBb7MJPHwYwxRwbKtL0lu5253Lk9w,linkedin.com,medium,no,"agentic-ai,linkedin_company_post,linkedin_posts,medium,wealth/research/asset-servicing,workflow","One of the more interesting enterprise AI shifts emerging right now is the move towards digital workers-as-a-service.  As Bernard Marr outlines here, many organisations are looking for ways to operationalise AI capabilities without taking on the full complexity of building and managing every layer internally.  That has important implications for how enterprises approach scalability, orchestration, operational ownership, and long term AI adoption strategies.",employer=; reactions=3; comments=0
crustdata_linkedin,li_022,workflow,linkedin_posts,agentic AI asset servicing,3,RSM McGladrey,linkedin_practitioner_post,governance/compliance,2026-06-05,Aditya Mehta,https://www.linkedin.com/posts/adityamehtacpa_allvue-and-rsm-launch-industry-first-agentic-activity-7458478195860811777-RzSU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGy-QEBb7MJPHwYwxRwbKtL0lu5253Lk9w,linkedin.com,medium,no,"agentic-ai,governance,governance/compliance,linkedin_posts,linkedin_practitioner_post,medium,workflow","Big moment for RSM and a real proof point of where agentic AI is going in financial services.  Capital calls have been one of the most stubborn operational bottlenecks in private capital for as long as I can remember. 70% of GPs still cite manual workflows and spreadsheets as their #1 pain point. Compressing that from weeks to days, with institutional-grade governance built in, is the kind of outcome clients have been asking us for.  Congrats to William Andreoni, CPA and the Asset Management Consulting team, and to our partners at Allvue. This is what happens when deep domain expertise meets the right AI architecture, and it's a strong signal of how RSM is showing up for the middle market in this next chapter.  More to come across fund operations, investor servicing, and FaaS. Watch this space.  #AgenticAI #PrivateCapital #FundAdministration #MiddleMarket #RSM #FundServices+",employer=RSM McGladrey; reactions=55; comments=2
crustdata_linkedin,li_022,workflow,linkedin_posts,agentic AI asset servicing,4,HCL Technologies,linkedin_practitioner_post,governance/compliance,2026-06-05,Vipul Bhatnagar,https://www.linkedin.com/posts/vipulbhatnagar-mba_enterpriseai-agenticai-financialservices-activity-7462838323175145472-77J2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGy-QEBb7MJPHwYwxRwbKtL0lu5253Lk9w,linkedin.com,medium,no,"agentic-ai,aml,claims,governance/compliance,linkedin_posts,linkedin_practitioner_post,medium,wealth,workflow","Generative AI writes emails. Agentic AI transforms the core of Financial Services.  But the most dangerous mistake FSI executives make today is treating AI like an IT science experiment instead of a true enterprise asset.  In my latest article, I break down why the future of financial services isn't one massive AI model—it’s a multi-agent orchestration team.   Whether deploying a liability evaluation agent in Insurance Claims, a risk-scoring agent in Commercial Lending, or a compliance audit agent in Wealth Management, the goal is exactly the same: seamlessly tee up a decision-ready case for the human expert.  If you are still measuring your AI teams by technical accuracy rather than submit-to-quote time, loan origination speed, and operational risk reduction, you are already behind.  Read my full playbook on scaling Agentic AI across the FSI value chain below.  👇 How is your organization currently measuring AI ROI across your core operations? Let's discuss in the comments. #Enterprise",employer=HCL Technologies; reactions=8; comments=2
crustdata_linkedin,li_027,tech_keywords,linkedin_posts,CrewAI banking,2,GrafWebCUSO Web Services,linkedin_company_post,governance/compliance,2026-06-05,GrafWebCUSO Web Services,https://www.linkedin.com/posts/grafwebcuso-web-services_aicreditunion-digitaltransformation-financialinnovation-activity-7468499029723787265-Y98G?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6gt4BT5H5IVQZBd187qm7SNdDZWRNjKk,linkedin.com,medium,no,"aml,governance/compliance,linkedin_company_post,linkedin_posts,medium,tech_keywords","Is your credit union ready for the future? 🚀 AI-powered website solutions are transforming member experiences and boosting operational efficiency. From intelligent chatbots to personalized banking, the future is now. Dive into our latest guide to discover how AI can help your credit union enhance engagement, streamline operations, and stay ahead in the digital age. Learn the best practices for implementing AI ethically and securely. Unlock the power of AI for your credit union: https://lnkd.in/efgCmxry #AICreditUnion #DigitalTransformation #FinancialInnovation #GrafWebCUSO #MemberExperience #OperationalEfficiency",employer=; reactions=0; comments=0
crustdata_linkedin,li_028,tech_keywords,linkedin_posts,AutoGen banking,1,Precision Technologies,linkedin_recruiter_or_job_post,job/hiring,2026-06-05,Bhabani Sankar Sahoo,https://www.linkedin.com/posts/bhabani-sankar-sahoo-972724243_hiring-agenticai-machinelearning-activity-7465762913048391680-Qi4P?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGAe0uQBrMHwnEeaQxMg3HiP2dIDbzsA9h4,linkedin.com,medium,no,"agentic-ai,job/hiring,langchain,langgraph,linkedin_posts,linkedin_recruiter_or_job_post,medium,tech_keywords","Hiring: Agentic AI / ML Software Engineer 📍 Locations: Jersey City, NJ / Plano, TX  💼 Employment Type: Contract / Full-time  🏢 Domain: Financial Services / Investment Banking We are hiring an experienced Agentic AI / ML Software Engineer to design and deploy next-generation intelligent systems for enterprise-scale financial platforms. This role is ideal for engineers with strong hands-on experience building production-grade Agentic AI solutions, large-scale ML systems, and cloud-native AI applications. Required Skills ✔ 8+ years of total software engineering experience  ✔ Hands-on Agentic AI implementation experience  ✔ Strong programming expertise in Python or Java  ✔ Experience designing, training, and deploying large-scale ML/AI models  ✔ Deep understanding of prompt engineering, agentic workflows, and orchestration frameworks Experience with: LangChain / LangGraph / CrewAI / Microsoft AutoGen Public cloud platforms: Amazon Web Services / Microsoft Azure Distributed systems: Kuberne",employer=Precision Technologies; reactions=6; comments=2
